region,grid_id,date,system:index,lst,ndvi,rainfall,month,year,longitude,latitude,temperature,humidity,solar_radiation,wind_speed,soil_moisture,mndwi,vci,tci,vhi,spi,spei,month_sin,month_cos,vhi_lag_1,vhi_lag_3,vhi_roll_3,ndvi_wavelet_approx,ndvi_wavelet_detail,lst_wavelet_approx,lst_wavelet_detail,rainfall_wavelet_approx,rainfall_wavelet_detail,target_vhi_next
Sindh,2384.0,2001-07-01,2384.0,38.3693300999517,0.10194342629482071,11.405039278653966,7,2001.0,,,36.3693300999517,32.69409422740765,34.47835955543471,3.77897766999839,0.19828674617860376,-0.3140929926133817,0.0,100.0,50.0,0.0,0.9933340211965936,-0.4999999999999998,-0.8660254037844388,87.35017450899201,87.35017450899201,50.0,0.10194342629482071,0.0,38.3693300999517,0.0,10.799212981360544,0.0,50.0
Sindh,2466.5,2001-06-01,2466.5,45.22213122592179,0.08693373530603972,6.22425404331185,6,2001.0,,,43.22213122592179,21.337974333941286,34.93724598844609,4.007404374197393,0.17211248371944546,-0.5376434384391745,0.0,100.0,50.0,0.0,-0.4047883433750216,1.2246467991473532e-16,-1.0,87.35017450899201,87.35017450899201,50.0,0.08693373530603972,0.0,45.22213122592179,0.0,6.22425404331185,0.0,50.0
Sindh,2467.0,2002-08-01,2467.0,41.58924250357255,0.09599047619047618,6.119637297746454,8,2002.0,,,39.58924250357255,24.629221793646725,34.67388582865802,3.886308083452418,0.17859412999559343,-0.49233811909798314,0.0,100.0,50.0,0.0,0.10047889587913014,-0.8660254037844384,-0.5000000000000004,87.35017450899201,87.35017450899201,50.0,0.09599047619047618,0.0,41.58924250357255,0.0,6.119637297746454,0.0,50.0
Sindh,2468.0,2001-01-01,2468.0,28.41104513830274,0.1091491594085477,4.60388790883225,1,2001.0,,,26.41104513830274,37.17461343377629,33.26636101647093,3.447034837943425,0.17644989827285376,-0.3364589671685535,74.99455840206544,99.70579061591857,87.35017450899201,0.41249604468071266,1.6077643123755307,0.49999999999999994,0.8660254037844387,87.35017450899201,87.35017450899201,87.35017450899201,0.10915816272077582,-9.003312228117476e-06,29.16294429293375,-0.7518991546310098,5.771708086584531,-1.1678201777522814,74.2747872038255
Sindh,2468.0,2001-02-01,2468.0,32.15518396932477,0.107273850516508,7.720846352262314,2,2001.0,,,30.15518396932477,33.86301581450139,33.699659142484286,3.571839465644159,0.18731849561955366,-0.36938144499966047,68.07475545695245,80.47481895069855,74.2747872038255,1.615322969402124,1.2414034291944116,0.8660254037844386,0.5000000000000001,87.35017450899201,87.35017450899201,80.81248085640875,0.10687554483529094,0.0003983056812170504,30.534569736182572,1.6206142331421964,6.642418232496895,1.07842811976542,47.722928484399645
Sindh,2468.0,2001-03-01,2468.0,39.19847116154432,0.10268642900546891,5.935946696471662,3,2001.0,,,37.19847116154432,26.550533114328264,34.65244242540579,3.8066157053848104,0.17750657054167082,-0.46601275269138137,51.147382575978185,44.2984743928211,47.722928484399645,0.9265343946181797,0.19391874780162072,1.0,6.123233995736766e-17,74.2747872038255,87.35017450899201,69.78263006573906,0.09925981953159198,0.001472251626740623,41.01346673087173,-1.8149955693274118,4.282053759070646,1.653892937401016,20.668387396511392
Sindh,2468.0,2001-04-01,2468.0,45.298504502686534,0.09651357099453109,3.5683435716156056,4,2001.0,,,43.298504502686534,20.34749689972886,34.96141962463657,4.0099501500895505,0.16551151297152844,-0.5508033792184807,28.369822449660976,12.966952343361811,20.668387396511392,0.012881923044793145,-0.7346354792284568,0.8660254037844387,-0.49999999999999983,47.722928484399645,87.35017450899201,47.55536769491218,0.0970239531100279,-0.0005103821154968003,44.86860230414962,0.4299021985369191,4.647736150189688,-1.0793925785740828,0.13763944091799374
Sindh,2468.0,2001-05-01,2468.0,47.76948663844056,0.08745758557828641,2.8840822226362044,5,2001.0,,,45.76948663844056,18.66286548762776,34.96068093202735,4.092316221281353,0.15927650179171873,-0.5853940004079302,0.0,0.2752788818359875,0.13763944091799374,-0.25117292049456835,-1.0319624116133674,0.49999999999999994,-0.8660254037844387,20.668387396511392,74.2747872038255,22.842985107276345,0.09985915928952258,-0.0014592531830032972,44.050142311480165,3.719344326960399,6.616116403119809,-3.58984429012553,68.33934479738811
Sindh,2468.0,2001-08-01,2468.0,40.68199121674714,0.1183065019242455,10.02267384858557,8,2001.0,,,38.68199121674714,26.76572810663578,34.539198279627755,3.8560663738915717,0.19808049865063224,-0.4400281652192189,100.0,36.67868959477622,68.33934479738811,2.0768913250189516,0.5859772133453993,-0.8660254037844384,-0.5000000000000004,0.13763944091799374,47.722928484399645,29.715123878272497,0.10536406617752403,0.001472251626740623,44.51053012056514,-3.8285389038179996,5.575069687516101,3.369373574466877,62.273192375008655
Sindh,2468.0,2001-09-01,2468.0,42.954050916048324,0.11580048612517724,1.4049528066996249,9,2001.0,,,40.954050916048324,22.33776796624856,34.81424041958769,3.931801697201611,0.1705909002318419,-0.5312956308309281,99.53764588915186,25.00873886086545,62.273192375008655,-0.8219654796273486,-0.47563061827603254,-1.0,-1.8369701987210297e-16,68.33934479738811,20.668387396511392,43.58339220443825,0.11607907566572406,-0.00027858954054683053,43.558342561392145,-0.604291645343824,2.1108551950901258,-0.7059023883905011,61.18543067087212
Sindh,2468.0,2001-10-01,2468.0,42.50448259916043,0.11458512254405508,0.4369718018652868,10,2001.0,,,40.50448259916043,22.55482566442317,34.85730408733541,3.9168160866386814,0.16646772741668697,-0.5295581452820443,95.05301057188163,27.317850769862616,61.18543067087212,-1.195507070368724,-0.5629990910245787,-0.8660254037844386,0.5000000000000001,62.273192375008655,0.13763944091799374,63.932655947756295,0.11864046561855243,-0.0014592531830032972,40.64061425036165,1.8638683487987808,0.8416885259677974,-0.4047167241025106,74.32190034746561
Sindh,2468.0,2001-11-01,2468.0,36.09306365519263,0.11278077780028356,0.028447467522121815,11,2001.0,,,34.09306365519263,28.910492278247638,34.34252585419193,3.703102121839754,0.16215798234228393,-0.45104950581981934,88.39506204673546,60.24873864819577,74.32190034746561,-1.3531556491579575,0.26267387991130375,-0.5000000000000004,0.8660254037844384,61.18543067087212,68.33934479738811,65.92684113111547,0.11243320883532733,0.00034756896495625556,35.92618988537941,0.16687376981321803,1.2308313617514972,-1.2023838942293756,87.64499709981061
Sindh,2468.0,2001-12-01,2468.0,30.975137304792007,0.11287808385659306,3.4982738550650536,12,2001.0,,,28.975137304792007,34.46314183927624,33.47482196048271,3.5325045768264003,0.17348740368834803,-0.37317830046276335,88.75411688718657,86.53587731243465,87.64499709981061,-0.014157815599220766,1.1915362779330436,-2.4492935982947064e-16,1.0,74.32190034746561,62.273192375008655,74.38410937271611,0.11178368834702684,0.0010943955095662151,31.571738102394622,-0.5966007976026138,2.0953490894236864,1.4029247656413673,95.96666462811112
Sindh,2468.0,2002-01-01,2468.0,27.265433987117312,0.11373966983998379,3.7558855425180853,1,2002.0,,,25.265433987117312,38.214866033178694,33.26636101647093,3.408847799570577,0.17581620129574604,-0.32561696548812,91.93332925622222,100.0,95.96666462811112,0.08525392806536101,1.7040200694915966,0.49999999999999994,0.8660254037844387,87.64499709981061,61.18543067087212,85.9778540251291,0.11418095805813562,-0.0004412882181518238,27.616502999560215,-0.3510690124429025,4.330825702157215,-0.5749401596391294,86.27578484845164
Sindh,2468.0,2002-02-01,2468.0,30.510673691817985,0.11148943690500304,4.993173015372009,2,2002.0,,,28.510673691817985,35.1150537271943,33.43088400116154,3.5170224563939327,0.17895444185676804,-0.3613843231481205,83.63007395957945,88.92149573732382,86.27578484845164,0.5627202507576429,1.3310075218017128,0.8660254037844386,0.5000000000000001,95.96666462811112,74.32190034746561,89.96248219212445,0.11142033579800978,6.910110699328199e-05,29.692340461644047,0.8183332301739411,5.109896941440173,-0.11672392606816412,56.23499570261605
Sindh,2468.0,2002-03-01,2468.0,37.5886923170012,0.10505931739923031,5.651596484464722,3,2002.0,,,35.5886923170012,28.12035007566048,34.49242202429903,3.752956410566706,0.17724003861741075,-0.4471692973973413,59.903230833976465,52.56676057125562,56.23499570261605,0.8168043172816953,0.4116067107934969,1.0,6.123233995736766e-17,86.27578484845164,87.64499709981061,79.49248172639294,0.10521885822831906,-0.0001595408290887344,39.01454817930162,-1.4258558623004207,4.295537402208079,1.3560590822566434,24.28423086807644
Sindh,2468.0,2002-04-01,2468.0,45.45533538961834,0.09869170548916346,3.0267408686850943,4,2002.0,,,43.45533538961834,20.071652349530005,34.96212661652892,4.015177846320611,0.1635338293624322,-0.556084728895489,36.4070378411028,12.161423895050078,24.28423086807644,-0.1961212848612502,-0.8192809008342329,0.8660254037844387,-0.49999999999999983,56.23499570261605,95.96666462811112,55.59833713971471,0.09848415973580996,0.00020754575335350204,44.53655782058573,0.91877756903261,3.9076234719177663,-0.8808826032326719,3.345177135434098
Sindh,2468.0,2002-05-01,2468.0,48.841384999880574,0.09063830261292283,1.7284115656353163,5,2002.0,,,46.841384999880574,17.653288307706575,34.97716676774269,4.128046166662686,0.15632296004479806,-0.6035967140603055,6.690354270868196,0.0,3.345177135434098,-0.6971435061086144,-1.2974370588764395,0.49999999999999994,-0.8660254037844387,24.28423086807644,86.27578484845164,27.954801235375527,0.09007596124545997,0.0005623413674628515,47.39732082037211,1.4440641795084659,3.3233695198641406,-1.5949579542288241,4.651255724343856
Sindh,2468.0,2002-06-01,2468.0,46.063656050501685,0.08889715414219161,5.2869070572206995,6,2002.0,,,44.063656050501685,20.483983991553963,34.93622685170754,4.03545520168339,0.1694338081762907,-0.5524283822617188,0.2655970659150473,9.036914382772665,4.651255724343856,0.6760715259366756,-0.5512261630111697,1.2246467991473532e-16,-1.0,3.345177135434098,56.23499570261605,10.76022124261813,0.08876465479309632,0.00013249934909526984,47.68056429232929,-1.616908241827605,3.095375885963263,2.191531171257436,22.509349665558823
Sindh,2468.0,2002-07-01,2468.0,41.80008405306866,0.09264171561677131,2.3774413643867014,7,2002.0,,,39.80008405306866,23.88346821895856,34.61359008031522,3.8933361351022886,0.16136143564750774,-0.5129912852058115,14.08285545462243,30.935843876495213,22.509349665558823,-0.4466844348527287,-0.17251838555241453,-0.4999999999999998,-0.8660254037844388,4.651255724343856,24.28423086807644,10.16859417511226,0.0956979109790131,-0.0014592531830032972,42.9992285333656,-1.199144480296946,3.4860750685974744,-1.1086337042107726,40.13384413498938
Sindh,2468.0,2002-09-01,2468.0,42.37700287526973,0.10299745797042738,2.8423960839875657,9,2002.0,,,40.37700287526973,23.081391173587956,34.766323568092346,3.9125667625089915,0.1708200028166884,-0.517947501852392,52.295065049447444,27.972623220531318,40.13384413498938,-0.2672595032528147,-0.27265768350334346,-1.0,-1.8369701987210297e-16,22.509349665558823,3.345177135434098,22.43148317496402,0.09992310639593993,0.001472251626740623,41.00627988544888,1.3707229898208466,2.4014904532635373,0.4409056307240291,39.091843071809905
Sindh,2468.0,2002-10-01,2468.0,42.99632385987206,0.10329475389912902,0.07195882006637573,10,2002.0,,,40.99632385987206,22.01777591519011,34.83956364639596,3.9332107953290687,0.16047275556776036,-0.5371662129681352,53.39207325525943,24.791612888360376,39.091843071809905,-1.3363647206546951,-0.6604934475429699,-0.8660254037844386,0.5000000000000001,40.13384413498938,4.651255724343856,33.9116789574527,0.10337713255976225,-8.23786606332172e-05,41.20392772553807,1.7923961343339885,-0.0977538758097393,0.169712695876115,64.38926083381901
Sindh,2468.0,2002-11-01,2468.0,34.945223754002626,0.10579941259874416,0.8602999113752898,11,2002.0,,,32.945223754002626,30.162351110614956,34.14668152241057,3.6648407918000876,0.16332819099789875,-0.4333736300833358,62.634147838102436,66.14437382953557,64.38926083381901,-1.0321457495967647,0.449049870034795,-0.5000000000000004,0.8660254037844384,39.091843071809905,22.509349665558823,47.871649346872765,0.10706027230235363,-0.0012608597036094494,36.90081706653325,-1.9555933125306322,1.0329701844548704,-0.17267027307958063,64.38926083381901
